ori_w16.pwk - done









19922		"Altar: Empty"                                   	****  	phod_altar_x        	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
15598		"Obelisk: DNC (Emitter)"                         	****  	DNC_Oble            	****      	****        	****        	****        	****        	****      	****   	****     	****            	1     	
10346		"Pedestal: Drow 1"                               	****  	zlc_fky_m69         	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
10347		"Pedestal: Drow 2"                               	****  	zlc_fky_m70         	****      	****        	****        	****        	26          	1         	0      	****     	default         	2     	

5243		"Planter: Round 1"                                     	****  	nw2planter2         	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
18643		"Planter: Fenced 1"                              	****  	plcls_a03           	****      	****        	****        	****        	34          	1         	0      	****     	****            	****  	
18644		"Planter: Fenced 2"                              	****  	plcls_a04           	****      	****        	****        	****        	34          	1         	0      	****     	****            	****  	
18645		"Planter: Fenced 3"                              	****  	plcls_a05           	****      	****        	****        	****        	34          	1         	0      	****     	****            	****  	
5248		"Planter: Plaza 1"                               	****  	nw2plaza1           	****      	****        	****        	****        	****        	****      	0      	****     	****            	0     	
5249		"Planter: Plaza 2"                               	****  	nw2plaza2           	****      	****        	****        	****        	****        	****      	0      	****     	****            	0     	

9963		"Light: Brazier 6"                               	****  	zlc_fky_i82         	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	

11578		"Basin: Divining Pool e"                         	****  	PLC_I10e            	****      	****        	****        	****        	32          	1         	0      	****     	****            	0     	
2250		"Basin: Pool"                                    	****  	zlc_16l             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
11212		"Fountain 01g"                                   	****  	PLC_J02g            	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
9668		"Fountain 13"                                    	****  	zlc_fky_f85         	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
10375		"Fountain 14"                                    	****  	zlc_fky_m99         	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
8001		"Fountain: Cupid"                                	****  	zlc_ccp_a01         	****      	****        	****        	****        	2           	1         	0      	1        	****            	1     	
1294		"Fountain: Neglected"                            	****  	ad_fruin1           	****      	****        	****        	****        	****        	1         	****   	****     	****            	1     	
3991		"Hole: Oubliette"                                	****  	dag_oubliette       	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
5500		"Well 2"                                         	****  	nw2well             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
5499		"Well: Old Owl"                                  	****  	nw2oldowlwell       	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	


11662		"Snowman"                                        	****  	dk_snowman          	****      	****        	****        	****        	****        	****      	****   	****     	****            	1     	

11188		"Book: Tome c"                                   	****  	PLC_X0_TMEc         	****      	****        	****        	****        	23          	1         	0      	****     	****            	1     	
2469		"Cage 1"                                         	****  	zlc_vv5             	****      	****        	****        	****        	22          	1         	0      	****     	****            	1     	
1924		"Cage Top 2"                                     	****  	zlc_d12             	****      	****        	****        	****        	22          	1         	0      	****     	****            	1     	

11146		"Carpet: Rug, Oriental 2a"                       	****  	PLC_X0_RG2a         	****      	****        	****        	****        	23          	1         	0      	****     	****            	1     	
11147		"Carpet: Rug, Oriental 2b"                       	****  	PLC_X0_RG2b         	****      	****        	****        	****        	23          	1         	0      	****     	****            	1     	
8602		"Chair, Bench 18"                                	****  	zlc_fky_a06         	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
8605		"Chair, Bench: Curved 2"                         	****  	zlc_fky_a09         	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
11243		"Chair, Bench: Large g"                          	****  	PLC_X0_BENg         	****      	****        	****        	****        	16          	1         	0      	****     	****            	1     	
5424		"Table, Round Wood"                        	****  	nw2table16          	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
13472		"Table: Dark Glass, Gem, Amethyst"               	****  	PLC_TbdAme          	****      	****        	****        	****        	26          	1         	0      	****     	dlag__ref01     	2     	
13473		"Table: Dark Glass, Gem, Diamond"                	****  	PLC_TbdDia          	****      	****        	****        	****        	26          	1         	0      	****     	dlag__ref01     	2     	
13474		"Table: Dark Glass, Gem, Emerald"                	****  	PLC_TbdEme          	****      	****        	****        	****        	26          	1         	0      	****     	dlag__ref01     	2     	
13475		"Table: Dark Glass, Gem, Ruby"                   	****  	PLC_TbdRub          	****      	****        	****        	****        	26          	1         	0      	****     	dlag__ref01     	2     	
13476		"Table: Dark Glass, Gem, Sapphire"               	****  	PLC_TbdSap          	****      	****        	****        	****        	26          	1         	0      	****     	dlag__ref01     	2     	
13477		"Table: Dark Glass, Gem, Topaz"                  	****  	PLC_TbdTop          	****      	****        	****        	****        	26          	1         	0      	****     	dlag__ref01     	2     	

12667		"Table: Dining Marble Blk/Red"                   	****  	PLC_TblDBlkRedMarb  	****      	****        	****        	****        	****        	1         	0      	****     	****            	1     	
2113		"Table: Low, Medium 2"                           	****  	ori_j02             	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
2099		"Table: Low, Medium 1"                           	****  	ori_e02             	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
4574		"Tavern: Shelves, Curved"                        	****  	st_shelf01          	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	



2974		"Screen 2, Open"                                 	****  	ori_m06             	****      	****        	****        	****        	15          	1         	0      	****     	****            	1     	
2976		"Screen 2, Closed"                               	****  	ori_m07             	****      	****        	****        	****        	15          	1         	0      	****     	****            	1     	
19875		"Screen: Oriental Red"                           	****  	ori_s15             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19876		"Screen: Oriental Burgandy"                      	****  	ori_s16             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19877		"Screen: Oriental Blue"                          	****  	ori_s17             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19878		"Screen: Oriental Green"                         	****  	ori_s18             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19879		"Screen: Oriental Yellow"                        	****  	ori_s19             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19880		"Screen: Oriental Black"                         	****  	ori_s20             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19881		"Screen: Oriental White"                         	****  	ori_s21             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19882		"Screen: Oriental Purple"                        	****  	ori_s22             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19883		"Screen: Oriental Purple-a"                      	****  	ori_w01             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19884		"Screen: Oriental White-a"                       	****  	ori_w02             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19885		"Screen: Oriental Yellow-a"                      	****  	ori_w03             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19886		"Screen: Oriental Red-a"                         	****  	ori_w04             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19887		"Screen: Oriental Burgandy-a"                    	****  	ori_w05             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19888		"Screen: Oriental Blue-a"                        	****  	ori_w06             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19889		"Screen: Oriental Black-a"                       	****  	ori_w07             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19890		"Screen: Oriental Black-b"                       	****  	ori_w08             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19891		"Screen: Oriental White-b"                       	****  	ori_w09             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19892		"Screen: Oriental Blue-b"                        	****  	ori_w10             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19893		"Screen: Oriental Burgandy-b"                    	****  	ori_w11             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19894		"Screen: Oriental Green-b"                       	****  	ori_w12             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19895		"Screen: Oriental Purple-b"                      	****  	ori_w13             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19896		"Screen: Oriental Red-b"                         	****  	ori_w14             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19897		"Screen: Oriental Yellow-b"                      	****  	ori_w15             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
19898		"Screen: Oriental Green-a"                       	****  	ori_w16             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	



4853		"Structure: Temple, Evil 2"                      	****  	nw2temple_e2        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
4854		"Structure: Temple, Evil 3"                      	****  	nw2temple_e3        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
4858		"Structure: Temple, Good 3"                      	****  	nw2temple_g3        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
4861		"Structure: Thay 1"                              	****  	nw2thay1            	****      	****        	****        	****        	26          	1         	0      	****     	default         	1     	
4862		"Structure: Thay 2"                              	****  	nw2thay2            	****      	****        	****        	****        	26          	1         	0      	****     	default         	1     	
4863		"Structure: Thay 3"                              	****  	nw2thay3            	****      	****        	****        	****        	26          	1         	0      	****     	default         	1     	
333		"Sign: Thay"                                     	****  	nw2thaysign         	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	


5093		"Structure: House, Mulsantir 1"                  	****  	nw2mulhouse1        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5094		"Structure: House, Mulsantir 1, Snowy"           	****  	nw2mulshouse1       	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5095		"Structure: House, Mulsantir 2"                  	****  	nw2mulhouse2        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5096		"Structure: House, Mulsantir 2, Snowy"           	****  	nw2mulshouse2       	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5097		"Structure: House, Mulsantir 3"                  	****  	nw2mulhouse3        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5098		"Structure: House, Mulsantir 3, Snowy"           	****  	nw2mulshouse3       	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5099		"Structure: House, Mulsantir 4"                  	****  	nw2mulhouse4        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5100		"Structure: House, Mulsantir 4, Snowy"           	****  	nw2mulshouse4       	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5101		"Structure: House, Mulsantir 5"                  	****  	nw2mulhouse5        	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	
5102		"Structure: House, Mulsantir 5, Snowy"           	****  	nw2mulshouse5       	****      	****        	****        	****        	33          	1         	0      	****     	****            	1     	

19838		"Structure: House, Hobbit Th Door"               	****  	plc_hobbithome2     	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
19840		"Structure: House, Hobbit Su Door"               	****  	plc_hobbithome4     	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
19842		"Structure: House, Hobbit Au Door"               	****  	plc_hobbithome6     	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
19844		"Structure: House, Hobbit Wi Door"               	****  	plc_hobbithome8     	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
19846		"Structure: House, Hobbit Sh Door"               	****  	plc_hobbithome10    	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
19848		"Structure: House, Hobbit St 1 Door"             	****  	plc_hobbithome12    	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
19850		"Structure: House, Hobbit Wd 1 Door"             	****  	plc_hobbithome14    	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
18286		"Structure: Pagoda EE2"                          	****  	e2_pagoda           	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
16432		"StructureObj: Staircase: House 1"               	****  	plc_stair1          	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
16442		"StructureObj: Staircase: House 2"               	****  	plc_stair2          	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
14329		"StructureObj: Stairs: Spiral"                   	****  	plc_spiralstair     	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
14210		"StructureObj: Stairs: Wood"                     	****  	jz_esccoli_03       	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
14181		"StructureObj: Stairs: wood, damaged"            	****  	jhb_stairs01        	****      	****        	****        	****        	23          	1         	0      	****     	****            	1     	
12159		"StructureObj: Staircase: Underdark"             	****  	ttu01_p09_01        	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
8052		"StructureObj: Stairs: Wooden"                   	****  	zlc_ccp_a52         	****      	****        	****        	****        	1           	1         	0      	****     	****            	1     	
14326		"StructureObj: Bridge, Rope"                     	****  	plc_ropebridge      	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
12326		"StructureObj: Dock: Pier"                       	****  	muelle_a            	****      	****        	****        	****        	****        	1         	****   	****     	****            	1     	


7926		"StructureObj: Tori 01"                          	****  	phod_tori01         	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
7927		"StructureObj: Tori 02"                          	****  	phod_tori02         	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
7928		"StructureObj: Tori 03"                          	****  	phod_tori03         	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
7929		"StructureObj: Tori 04"                          	****  	phod_tori04         	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
2686		"StructureObj: Tori Gate"                        	****  	zlc_r69             	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	

2190		"WallObj: Claw with Sphere, High 1"              	****  	zlc_m50             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2191		"WallObj: Claw with Sphere, High 2"              	****  	zlc_m51             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2192		"WallObj: Claw with Sphere, Low 2"               	****  	zlc_m52             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2193		"WallObj: Claw with Sphere, Low 3"               	****  	zlc_m53             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2194		"WallObj: Claw with Sphere, High 3"              	****  	zlc_m54             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2195		"WallObj: Claw with Sphere, High 4"              	****  	zlc_m55             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
2196		"WallObj: Claw with Sphere, Low 4"               	****  	zlc_m56             	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	


19824		"Underdark: wall X1"                             	****  	ud_wallx1           	****      	****        	****        	****        	9           	1         	0      	****     	****            	1     	
19818		"Underdark: Wall 1"                              	****  	wrm_ud_wallx        	****      	****        	****        	****        	9           	1         	0      	****     	****            	1     	
19819		"Underdark: Wall 2"                              	****  	wrm_ud_wallx2       	****      	****        	****        	****        	9           	1         	0      	****     	****            	1     	
19820		"Underdark: Wall t"                              	****  	wrm_ud_wallx3       	****      	****        	****        	****        	9           	1         	0      	****     	****            	1     	
19821		"Underdark: cave t"                              	****  	wrm_ud_cave         	****      	****        	****        	****        	9           	1         	0      	****     	****            	1     	

2560		"Wagon: Covered"                                 	****  	zlc_v88             	****      	****        	****        	****        	****        	1         	0      	****     	****            	1     	


4705		"Symbol: Arcana 1"                               	****  	nw2arcana           	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
4706		"Symbol: Arcana 2"                               	****  	nw2arcana2          	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
4707		"Symbol: Arcana 3"                               	****  	nw2arcana3          	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
4708		"Symbol: Arcana 4"                               	****  	nw2arcana4          	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
4709		"Symbol: Arcana 5"                               	****  	nw2arcana5          	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
4710		"Symbol: Arcana 6"                               	****  	nw2arcana6          	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
5310		"Symbol: Arcana 7"                               	****  	nw2sigil            	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
---->
15064		"Symbol: Arcane Circle 01"                       	****  	plc_magcirc000      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15065		"Symbol: Arcane Circle 02"                       	****  	plc_magcirc001      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15066		"Symbol: Arcane Circle 03"                       	****  	plc_magcirc002      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15067		"Symbol: Arcane Circle 04"                       	****  	plc_magcirc003      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15068		"Symbol: Arcane Circle 05"                       	****  	plc_magcirc004      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15069		"Symbol: Arcane Circle 06"                       	****  	plc_magcirc005      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15070		"Symbol: Arcane Circle 07"                       	****  	plc_magcirc006      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15071		"Symbol: Arcane Circle 08"                       	****  	plc_magcirc007      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15072		"Symbol: Arcane Circle 09"                       	****  	plc_magcirc008      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15073		"Symbol: Arcane Circle 10"                       	****  	plc_magcirc009      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15074		"Symbol: Arcane Circle 11"                       	****  	plc_magcirc010      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15075		"Symbol: Arcane Circle 12"                       	****  	plc_magcirc011      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15076		"Symbol: Arcane Circle 13"                       	****  	plc_magcirc012      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15077		"Symbol: Arcane Circle 14"                       	****  	plc_magcirc013      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15078		"Symbol: Arcane Circle 15"                       	****  	plc_magcirc014      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15079		"Symbol: Arcane Circle 16"                       	****  	plc_magcirc015      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15080		"Symbol: Arcane Circle 17"                       	****  	plc_magcirc016      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15081		"Symbol: Arcane Circle 18"                       	****  	plc_magcirc017      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15082		"Symbol: Arcane Circle 19"                       	****  	plc_magcirc018      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15083		"Symbol: Arcane Circle 20"                       	****  	plc_magcirc019      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15084		"Symbol: Arcane Circle 21"                       	****  	plc_magcirc020      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15085		"Symbol: Arcane Circle 22"                       	****  	plc_magcirc021      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
15086		"Symbol: Arcane Circle 23"                       	****  	plc_magcirc022      	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	


18547		"Craft: Anvil, Stump"                            	****  	plc_anvil           	****      	****        	****        	****        	22          	1         	0      	****     	****            	1     	
8624		"Craft: Construction Platform"                   	****  	zlc_fky_a28         	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
18542		"Craft: Forge PS"                                	****  	psp_c38             	****      	****        	****        	****        	26          	1         	0      	****     	****            	1     	
5070		"Craft: Golem Rig"                               	****  	nw2grig             	****      	****        	****        	****        	17          	1         	0      	****     	****            	1     	
11035		"Craft: Loom a"                                  	****  	PLC_X0_LOOa         	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
5081		"Craft: Pump 5"                                  	****  	nw2hpump3           	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	

14311		"Fence: Field"                                   	****  	plc_fencefld        	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	

4785		"Fire: Bonfire"                                  	****  	nw2bonfire          	****      	****        	****        	****        	19          	1         	0      	****     	****            	1     	
19609		"Fire: Flame Vent"                               	****  	vim_exp2flame       	****      	****        	****        	****        	****        	****      	0      	****     	****            	****  	

4558		"Stone: Floor Slabs"                             	****  	st_blocks01         	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
4559		"Stone: Floor Slabs, Dirt"                       	****  	st_dirty            	****      	****        	****        	****        	18          	1         	0      	****     	****            	1     	
13021		"Floor: Cobble 8"                                	****  	plc_f_Cobble8       	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
13020		"Floor: Cobble 7"                                	****  	plc_f_Cobble7       	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
5711		"Floor: Cobble 5 1x1"                            	****  	zlc_flr_cobb5_x1    	****      	****        	****        	****        	****        	****      	****   	****     	****            	1     	
13002		"Floor: Sigil 4"                                 	****  	plc_f_sigil2        	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
14752		"Floor: Stone Q1"                                	****  	pfl_a01             	****      	****        	****        	****        	****        	1         	****   	****     	****            	1     	

14757		"Floor: Stone Q6"                                	****  	pfl_a06             	****      	****        	****        	****        	****        	1         	****   	****     	****            	1     	

14758		"Floor: Stone Q7"                                	****  	pfl_a07             	****      	****        	****        	****        	****        	1         	****   	****     	****            	1     	
8896		"FloorDesign: Celtic Stone"                      	****  	zlc_fky_d16         	****      	****        	****        	****        	****        	1         	0      	****     	****            	1     	
9455		"Floor: Mud 1 1x1"                               	****  	zlc_flr_mud1_x1     	****      	****        	****        	****        	****        	****      	****   	****     	****            	1     	
9457		"Floor: Mud 2 1x1"                               	****  	zlc_flr_mud2_x1     	****      	****        	****        	****        	****        	****      	****   	****     	****            	1     	
13062		"Floor: Liquid, Mud"                             	****  	PLC_L_MUD           	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	



13074		"Floor: Liquid, Lava 3"                          	****  	PLC_L_TIB           	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
13072		"Floor: Liquid, Lava 2"                          	****  	PLC_L_TDE           	****      	****        	****        	****        	20          	****      	0      	****     	****            	1     	
2203		"Landscape: Devil's Tower"                       	****  	zlc_m63             	****      	****        	****        	****        	20          	1         	0      	****     	****            	1     	
6827		"Landscape: Sandstone 1"                         	****  	pkt_tat28           	****      	****        	****        	****        	49          	1         	0      	****     	****            	1     	
6828		"Landscape: Sandstone 2"                         	****  	pkt_tat29           	****      	****        	****        	****        	49          	1         	0      	****     	****            	1     	

14301		"Fluid: Mud Bubbles"                             	****  	plc_bubbles         	****      	****        	****        	****        	34          	1         	0      	****     	****            	1     	

---->
5910		"Fluid: Blood, Fall"                             	****  	zlc_u01             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5911		"Fluid: Blood, Shaft"                            	****  	zlc_u02             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5912		"Fluid: Lava, Fall"                              	****  	zlc_u11             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5913		"Fluid: Lava, Shaft"                             	****  	zlc_u12             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5914		"Fluid: Slime, Fall"                             	****  	zlc_u21             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5915		"Fluid: Slime, Shaft"                            	****  	zlc_u22             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5984		"Fluid: Oil, Drip"                               	****  	zlc_u53             	****      	****        	****        	****        	****        	1         	0      	****     	****            	1     	
5985		"Fluid: Oil, Fall"                               	****  	zlc_u51             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5986		"Fluid: Oil, Shaft"                              	****  	zlc_u52             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5988		"Fluid: Gore, Fall"                              	****  	zlc_u61             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5989		"Fluid: Gore, Shaft"                             	****  	zlc_u62             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5990		"Fluid: Ooze, Fall"                              	****  	zlc_u71             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	
5991		"Fluid: Ooze, Shaft"                             	****  	zlc_u72             	****      	****        	****        	****        	32          	1         	0      	****     	****            	1     	


4450		"Fog 1"                                          	****  	zlc_mck_fog0001     	****      	****        	****        	****        	****        	****      	****   	****     	****            	2     	
4451		"Fog 2"                                          	****  	zlc_mck_fog0002     	****      	****        	****        	****        	****        	****      	****   	****     	****            	2     	
4452		"Fog 3"                                          	****  	zlc_mck_fog0003     	****      	****        	****        	****        	****        	****      	****   	****     	****            	2     	
4453		"Fog 4"                                          	****  	zlc_mck_fog0004     	****      	****        	****        	****        	****        	****      	****   	****     	****            	2     	
4454		"Fog 5"                                          	****  	zlc_mck_fog0005     	****      	****        	****        	****        	****        	****      	****   	****     	****            	2     	
17951		"Fog: Cloud 1"                                   	****  	cloud               	****      	****        	****        	****        	23          	1         	0      	****     	****            	1     	
17952		"Fog: Cloud 2"                                   	****  	cloud2              	****      	****        	****        	****        	23          	1         	0      	****     	****            	1     	

10317		"Tent: Mushroom"                                 	****  	zlc_fky_m40         	****      	****        	****        	****        	24          	1         	0      	****     	****            	1     	
2157		"Tent: Caravan 2"                                	****  	zlc_m17             	****      	****        	****        	****        	24          	1         	0      	****     	****            	1     	
12448		"Market Stall, Round A"                          	****  	plc_marketst01      	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
12453		"Market Stall, Canvas"                           	****  	plc_marketst06      	****      	****        	****        	****        	13          	1         	0      	****     	****            	1     	
8192		"Barrel: Giant"                                  	****  	zlc_ccp_c04         	****      	****        	****        	****        	2           	1         	0      	****     	****            	1     	
